recipe_title,category,subcategory,description,ingredients,directions,num_ingredients,num_steps
에어프라이 땅콩 치킨,에어프라이 레시피,에어프라이 레시피,이 에어프라이 땅콩 치킨 레시피에서는 뼈 없는 닭다리살을 매콤달콤한 땅콩 양념에 재웠습니다. 쌀이나 국수와 곁들이거나 한입 크기로 자르어 샐러드 위에 제공할 수 있습니다.,"[""2 큰술 태국 스위트 칠리 소스"", ""1 큰술 간장"", ""1 큰술 스리라차"", ""라임 1개, 제스트와 즙"", ""1 작은술 분말 마늘"", ""1 큰술 생강"", ""1/3 컵 크리미한 땅콩 버터"", ""맛을 내기 위해 소금"", ""뼈 없는 닭다리살 6개"", ""요리용 스프레이"", ""조리된 쌀 2컵 또는 필요한 만큼"", ""다진 실란트로"", ""드라이로스트 땅콩""]","[""칠리 소스, 간장, 스리라차, 라임 제스트, 라임 즙, 분말 마늘, 다진 생강, 땅콩 버터, 맛을 내기 위해 소금을 큰 재봉 가능한 플라스틱 봉지에 넣으세요. 봉지 안의 재료를 부드럽게 움직이고 으깨세요 잘 섞일 때까지."", ""닭고기를 봉지에 넣고 최대한 공기를 짜내세요. 봉지 안에서 닭고기를 움직이세요 각 조각이 양념에 코팅될 때까지. 냉장고에서 최소 30분에서 최대 24시간 재우세요."", ""에어프라이어를 화씨 350도(섭씨 180도) 또는 제조업체의 권장사항에 따라 예열하세요."", ""에어프라이어의 요리 표면에 요리용 스프레이를 기름을 바르세요."", ""봉지에서 닭고기 조각을 꺼내고 양념을 봉지로 다시 떨어지도록 하세요. 닭고기 조각을 에어프라이어에 단층으로 놓고 20~22분 동안 에어프라이하세요, 중간에 뒤집으면서, 즉석 온도계가 중앙 근처에 화씨 165도(섭씨 74도)를 읽을 때까지."", ""한편, 미사용한 양념에 약 1/2컵의 물을 넣고 내용물을 섞으세요; 전자레인지 안전 용기에 붓으세요. 고강도로 전자레인지에 돌리세요, 양념이 끓을 때까지, 그리고 약 1분 더 익히세요; 넘치지 않는지 주의 깊게 보세요."", ""닭고기를 쌀 위에 제공하세요, 소스는 찍어 먹을 용으로 따로. 다진 실란트로, 슬라이스한 파, 채썬 오이와 당근, 다진 땅콩으로 장식하세요, 원하는 대로.""]",13,7
로드된 치즈버거 와플 프라이 베이크,소고기 레시피,소고기 레시피,"와플 프라이, 간 소고기, 베이컨, 치즈가 치즈버거를 연상시키는 이 쉬운 구이에 결합됩니다.","[""8 베이컨 (1/2 패키지)"", ""1 (20온스) 냉동 와플 프라이 봉지"", ""1 큰술 올리브 기름"", ""1 작은 노란색 양파"", ""2 쪽 마늘, 다지기"", ""1 파운드 간 소고기"", ""소금과 신선하게 간 검은 후추, 맛에 맞게"", ""1 컵 채썬 체다 치즈"", ""1 컵 채썬 모차렐라 치즈"", ""1/4 컵 케첩, 제공용 추가"", ""2 큰술 노란색 머스터드"", ""2 큰술 마요네즈,""]","[""큰 스킬렛에 베이컨을 놓고 중간-높은 불에서 익히되, 가끔 뒤집으면서 약 10분간 고르게 갈색으로 익히다. 베이컨 슬라이스를 종이 타올에 기름기를 빼다. 충분히 식으면 대략적으로 다지다."", ""한편, 에어프라이 오븐을 화씨 400도 (섭씨 200도)로 예열하다."", ""와플 프라이를 에어프라이하여 황금색이고 바삭해질 때까지, 중간에 한 번 흔들면서, 8~10분간 또는 패키지의 지시대로 굽다. 구우면서 중간에 한 번 뒤집어야 합니다."", ""오븐을 화씨 375도 (섭씨 190도)로 예열하다."", ""큰 스킬렛에서 올리브 기름을 중간 불에서 가열하다. 양파를 넣고 2~3분간 부드러워질 때까지 익히다. 다진 마늘을 넣고 약 30초간 향이 날 때까지 익히다. 간 소고기를 넣고 소금과 후추로 간하다. 뜨거운 스킬렛에서 간 소고기를 저어주며 갈색이 되고 부스러기 상태가 될 때까지 익히다, 요리하면서 어떤 덩어리든 부수면서, 5~7분간. 기름기를 기름기를 빼고 버리다. 케첩, 머스터드, 마요네즈를 저어주어 소고기 혼합물을 완전히 코팅하다. 1~2분간 약불로 끓이다."", ""오븐을 화씨 375도 (섭씨 190도)로 예열하다."", ""익힌 소고기 혼합물을 9x13인치 베이킹 접시에 고르게 펼치다. 체다 치즈를 위에 뿌리고 바삭한 와플 프라이를 치즈 위에 고르게 펼치다. 와플 프라이 위에 모차렐라를 뿌리고, 그 위에 다진 베이컨을 뿌리다."", ""예열된 오븐에서 카세롤을 치즈가 녹고 카세롤이 데워질 때까지, 약 5분간 굽다."", ""다진 피클과 깍둑썰기한 토마토, 그리고 추가 케첩과 머스터드를 특별한 치즈버거 맛을 위해 올리고 와플 프라이가 여전히 바삭할 동안 즉시 제공하다!""]",12,9
리용네즈 감자,건강한 레시피,저나트륨 레시피,이 리용네즈 감자는 슬라이스한 감자와 양파로 만든 클래식 요리입니다.,"[""2파운드 러셋 감자"", ""2테이블스푼 올리브 오일"", ""4개의 양파, 얇게 슬라이스한"", ""2테이블스푼 다진 마늘"", ""½컵 버터"", ""맛을 내기 위해 소금"", ""간 화이트 페퍼, 맛을 내기 위해"", ""1테이블스푼 잘게 다진 신선한 파슬리""]","[""오븐을 400도 F(200도 C)로 예열하다."", ""감자의 껍질을 벗기다 그리고 자르다 1/2인치 슬라이스로. 냄비에 놓다 그리고 덮다 물로; 끓이다. 끓이기 2분 동안, 그 다음 기름기를 빼다 그리고 옆에 둔다."", ""가열하다 큰 오븐용 스킬렛 중불에서. 붓다 올리브 오일에서, 그 다음 양파를 추가한다. 살짝 카라멜화될 때까지 볶다, 8에서 10분. 저어주다 마늘을 넣고 볶다 양파가 진갈색이 될 때까지 그리고 마늘이 부드러울 때까지. 옮기다 혼합물을 그릇에."", ""스킬렛을 다시 스토브에 놓다 약불에서. 버터를 녹이다 스킬렛에, 그 다음 덮다 바닥을 감자의 1/3로. 간하다 소금과 후추로. 덮다 감자를 양파 혼합물의 1/2로. 덮다 남은 감자의 1/2로; 간하다 소금과 후추로. 펼치다 남은 양파 혼합물을 위에. 덮다 남은 감자로; 간하다 소금과 후추로."", ""굽다 예열된 오븐에서 감자가 부드러워질 때까지 그리고 위에서 갈색으로 익혀질 때까지, 10에서 12분."", ""사용하다 스패튤라를 옮기다 감자를 서빙 접시에. 뿌리다 다진 파슬리로 서빙하기 바로 전에.""]",8,6
마리아의 포르투갈식 바깔라우,카세롤,해산물 카세롤,이것은 엄마의 추억을 불러일으키는 전통 포르투갈 요리입니다. 맛있을 뿐만 아니라 항상 파티에서 큰 인기를 끌고 있습니다. 미리 계획하세요. 염장 대구(바깔랴우 또는 바깔라오)는 24시간 동안 불려야 합니다.,"[""건조 염장 대구 2파운드"", ""올리브유 3/4컵"", ""신선한 파슬리 다진 것 1/2컵, 나누어서"", ""마늘 다진 것 2클로브, 나누어서"", ""빨간 고추 플레이크 1 1/2티스푼"", ""갓 간 검은 후추 맛에 맞게"", ""유콘 골드 감자 4개"", ""무염 버터 3테이블스푼"", ""노란 양파 2개, 얇게 슬라이스하다"", ""씨를 빼낸 녹색 올리브 10개"", ""씨를 빼낸 검은 올리브 10개"", ""완전히 익힌 계란 4개, 다진 것""]","[""마른 염장 대구를 찬물에 24시간 동안 불리고, 여러 번 물을 갈아줍니다."", ""큰 냄비에 물을 끓이다. 불린 대구를 넣고 포크로 쉽게 떨어질 때까지 끓이기, 약 5분. 대구를 도마에 옮기다; 감자를 익히는 데 쓸 물을 남겨두세요. 대구의 피부와 뼈를 제거한 다음 포크를 사용하여 고기를 조각으로 다지다; 큰 볼에 따로 놓아두세요."", ""올리브유, 파슬리 1테이블스푼, 마늘 1클로브, 고추 플레이크, 검은 후추를 작은 볼에서 거품기로 저어주다; 대구 위에 붓다 그리고 살짝 버무리다 코팅하기."", ""오븐을 350도 화씨(175도 섭씨)로 예열하다. 8x11인치 베이킹 접시에 기름을 바르다."", ""감자를 남겨둔 냄비 염장 대구 요리 물에 놓다; 끓이다. 부드러워질 때까지 익히다, 약 20분. 기름기를 빼다 찬물 아래에서, 껍질을 벗기다, 그리고 1/4인치 슬라이스로 자르다."", ""감자가 익는 동안, 중불에서 큰 스킬렛에 버터를 녹이다. 양파를 넣다; 황금색이고 카라멜화될 때까지 향신료를 섞다. 나머지 마늘 1클로브를 저어주다; 따로 놓아두세요."", ""준비된 베이킹 접시의 바닥에 감자의 1/2를 층을 쌓고; 대구의 1/2로 덮다, 그 다음 양파의 1/2. 층을 반복하다, 양파로 끝내다."", ""예열된 오븐에서 옅은 갈색으로 익을 때까지 굽다, 약 15분. 올리브와 완전히 익힌 계란으로 장식하다; 남은 파슬리 7테이블스푼을 뿌리다.""]",12,8
그릴에 구운 닭고기와 밥으로 채운 피망,메인 요리,채운 피망,한 밤에 닭고기와 몇 가지를 함께 던져 만든 요리인데 채운 피망이 남편이 가장 좋아하는 요리 중 하나가 되었어요! 정말 자랑스러워요!,"[""상단을 제거하고 씨를 뺀 중간 크기의 녹색 피망 4개"", ""물 1¼컵, 나누어 사용"", ""타코 시즈닝 3큰술, 나누어 사용"", ""껍질과 뼈를 제거한 닭가슴살 반쪽 2개 (5온스)"", ""헹군 현미 ½컵"", ""두꺼운 슬라이스로 자른 빨간 피망 1개"", ""올리브유 1큰술"", ""다진 양파 ¼컵"", ""다진 마늘 2작은술"", ""깍둑썬 토마토와 초록 칠리 1캔 (10온스) (로텔® 같은 제품)"", ""채썬 멕시칸 믹스 치즈 1컵, 나누어 사용"", ""마늘 소금 ½작은술 (또는 맛에 맞게)""]","[""오븐을 375도 F(190도 C)로 예열하세요. 녹색 피망을 구운 요리 그릇에 놓고 밑바닥에 물 1/8컵을 넣으세요."", ""예열된 오븐에서 피망의 가장자리가 약간 갈색으로 익을 때까지 20~25분간 굽으세요."", ""피망이 구워지는 동안 물 1/4컵과 타코 시즈닝 2큰술을 작은 그릇에 섞으세요. 닭고기를 넣고 코팅하기 위해 버무리세요. 그릇을 랩으로 덮고 냉장고에서 최소 15분간 재우세요."", ""남은 물 1컵과 쌀을 냄비에 넣고 센 불로 가열하세요; 끓이세요. 덮개를 덮고 약한 불로 줄인 후 15분간 익히세요. 불에서 내리세요. 남은 타코 시즈닝을 저어주고 덮인 채로 약 15분간 더 놔두세요. 덮개를 제거하고 남은 액체를 기름기를 빼고 따로 놓으세요."", ""야외 그릴을 중간 열로 예열하고 격자 부분에 기름을 살짝 바르세요."", ""냉장고에서 닭고기를 꺼내 예열된 그릴에 피망 슬라이스와 함께 놓으세요. 닭고기가 중심이 더 이상 분홍색이 아니고 육수가 맑아질 때까지 양쪽에 약 5~7분씩 굽으세요. 닭고기 중심에 꽂은 즉석 온도계가 최소 165도 F(74도 C)를 읽어야 합니다. 피망이 부드러워질 때까지 양쪽에 약 2~3분씩 굽으세요."", ""그릴에서 닭고기와 피망을 제거하고 식히세요. 닭고기를 채썰고 피망을 깍둑썰기하세요."", ""큰 팬에 기름을 넣고 중간 불로 가열하세요. 양파와 마늘을 넣고 부드러워질 때까지 5~7분간 볶으세요. 익힌 쌀, 채썬 닭고기, 깍둑썬 피망, 깍둑썬 토마토와 초록 칠리, 치즈 1/2, 마늘 소금을 넣고 섞일 때까지 저어주세요. 중간 불로 가열하면서 가끔 저어주고, 뜨거워질 때까지 약 5분간 익히세요."", ""쌀 혼합물을 녹색 피망에 떠서 넣으세요. 남은 치즈를 올리세요."", ""치즈가 녹을 때까지 오븐에 약 5분간 되돌리세요.""]",12,10
스카치 에그,아침 및 브런치,아침 및 브런치,"스카치 에그는 소시지와 빵가루로 감싼 반숙 계란을 튀긴 맛있는 짭짤한 요리입니다. 영국 펍의 인기 메뉴로, 가족 행사나 피크닉에 완벽합니다. 크리스마스 이브에 상추 위에 슬라이스한 토마토와 머스터드를 장식하여 제공하는 것을 좋아합니다.","[""튀기기용 기름 1쿼트"", ""큰 계란 4개"", ""돼지고기 소시지 2파운드"", ""다목적 밀가루 1컵"", ""큰 계란 4개, 휘핑된"", ""말린 빵가루 4컵, 간된""]","[""모든 재료를 준비합니다. 오븐을 350도 화씨(175도 섭씨)로 예열합니다. 튀기기용 기름을 375도 화씨(190도 섭씨)로 가열합니다."", ""계란을 냄비에 놓고 물로 덮습니다. 끓입니다. 덮고, 열에서 제거한 후, 계란을 뜨거운 물에 10~12분 동안 그대로 둡니다. 뜨거운 물에서 제거하고, 식히고, 껍질을 벗깁니다."", ""소시지를 펴고 각 계란을 감쌀 수 있도록 패티를 만듭니다."", ""소시지 외층에 가볍게 밀가루를 뿌린 후 계란으로 코팅합니다. 빵가루에 굴려 고르게 덮습니다."", ""준비된 계란을 뜨거운 기름에 튀겨서 황금색으로 익히며 각 면이 잘 익도록 합니다."", ""예열된 오븐에서 10분간 굽습니다."", ""반으로 자르고 제공합니다."", ""즐기세요!""]",6,8
셰퍼드 파이,소고기 레시피,소고기 파이,"다진 소고기나 양고기, 당근, 양파를 넣은 풍부한 그레이비로 만든 셰퍼드 파이입니다. 치즈를 곁들인 으깬 감자 층을 얹어 까다로운 입맛도 만족시킬 수 있습니다. 저녁 식사에 야채를 더 많이 넣을 수 있는 좋은 방법입니다!","[""큰 감자 4개, 껍질을 벗기고 깍둑썬"", ""버터 1테이블스푼"", ""잘게 다진 양파 1테이블스푼"", ""체다 치즈 채썬 것 ¼컵"", ""소금과 후추 맛에 맞게"", ""당근 5개, 다진"", ""식용유 1테이블스푼"", ""양파 1개, 다진"", ""소고기나 양고기 다진 것 1파운드"", ""만능 밀가루 2테이블스푼"", ""케첩 1테이블스푼"", ""소고기 육수 ¾컵"", ""체다 치즈 채썬 것 ¼컵""]","[""모든 재료를 준비합니다."", ""큰 냄비에 소금 물을 끓이기 합니다. 감자를 넣고 부드러우면서도 여전히 단단할 때까지 약 15분간 익히다 합니다. 기름기를 빼고 으깹니다. 버터, 잘게 다진 양파, 체다 치즈 ¼컵을 넣고 섞습니다. 소금과 후추로 간 하고 맛을 맞춥니다; 따로 둡니다."", ""큰 냄비에 소금 물을 끓이기 합니다. 당근을 넣고 부드러우면서도 여전히 단단할 때까지 약 15분간 익히다 합니다. 기름기를 빼고, 으깨고 따로 둡니다. 오븐을 375도 F(190도 C)로 예열하다 합니다."", ""큰 프라이팬에 기름을 바르고 가열하다 합니다. 양파를 넣고 투명해질 때까지 익히다 합니다. 다진 소고기를 넣고 갈색으로 익히다 할 때까지 익히다 합니다. 기름기를 빼고, 밀가루를 뿌리고 1분간 익히다 합니다. 케첩과 소고기 육수를 넣습니다. 끓이다, 불을 줄이고 약불로 끓이기 를 5분간 합니다."", ""다진 소고기를 2쿼트 캐서롤 접시 바닥에 고르게 펼칩니다. 다음으로 으깬 당근층을 펼칩니다. 으깬 감자 혼합물을 올리기 하고 남은 체다 치즈를 뿌립니다."", ""예열된 오븐에서 20분간 또는 황금색으로 될 때까지 굽다 합니다. 뜨거울 때 제공하고 즐기세요!""]",13,6
새우 토스타다,멕시칸,정통 멕시칸 레시피,"샐러드, 사이드, 메인 디시, 그리고 빵이 모두 작은 스택에? 네, 좋습니다! 2개 주세요! 슬로우, 리프라이드 블랙빈, 새우가 바삭한 토스타다 셸 위에 쌓여 재미있고 맛있는 저녁 식사를 만듭니다. 가족이 순한 맛을 선호한다면 칠포틀레 페퍼 1개만 사용하고 카옌 페퍼는 빼세요.","[""1/2 컵 마요네즈"", ""아도보 소스에 담긴 칠포틀레 페퍼 2개, 다지기"", ""1/3 컵 라임 주스"", ""1 큰술 꿀"", ""1 큰술 아보카도 오일"", ""1 작은술 분쇄 커민"", ""1/4 작은술 소금, 또는 맛에 맞춰"", ""1 (8온스) 팩 채썬 양배추""]","[""마요네즈, 다진 칠포틀레 페퍼, 라임 주스, 꿀, 아보카도 오일, 1작은술 커민, 맛에 맞춘 소금을 큰 볼에 넣어 슬로우용 혼합물을 만듭니다. 잘 섞일 때까지 저어주다. 채썬 양배추를 넣고 코팅할 때까지 버무리다. 사용할 때까지 냉장합니다."", ""물, 소프리토 베이스, 카옌 페퍼를 큰 팬에 넣어 슬로우용 혼합물을 만듭니다. 중불에서 끓이다. 새우를 끓는 액체에 넣고, 다시 끓이다, 새우가 흰색과 복숭아색으로 변하고 \""C\"" 모양을 만들 때까지 익히다, 3~5분. 슬롯 스푼이나 스파이더를 사용하여 새우를 조리 액체에서 즉시 꺼냅니다."", ""오븐 랙을 열원에서 약 6인치 위에 설정하고 브로일러를 예열하다. 베이킹 트레이에 알루미늄 호일을 깔아줍니다."", ""리프라이드 빈, 스모크 파프리카, 1/2작은술 커민, 마늘 그래뉼을 볼에 넣어 토스타다용 혼합물을 만듭니다. 각 토스타다 셸에 빈 혼합물을 펼치다, 토스타다당 1~2 큰술, 또는 맛에 맞춰. 각 토스타다에 케소 프레스코 크럼블을 고르게 뿌리다. 토스타다를 준비된 베이킹 트레이에 한 층으로 놓다."", ""예열된 브로일러 아래에서 치즈가 녹기 시작할 때까지 브로일, 1~2분. 토스타다 셸이 타지 않도록 주의하세요."", ""각 토스타다에 준비된 슬로우 약 1/2컵을 놓다. 맛에 맞춰 다진 고수잎을 올리기. 토스타다당 새우 3마리를 넣고, 크레마를 뿌리다. 원하면 라임 슬라이스와 함께 제공하다.""]",8,6
동남아시아 스타일 닭고기 밥,두 사람을 위한 요리,두 사람을 위한 요리,"베트남, 태국, 인도네시아 및 기타 아시아 요리의 요소를 혼합하여 신선한 허브 샐러드를 얹은 맛있는 닭고기와 밥 요리를 만들었습니다.","[""큰 닭 가슴살 1개, 껍질 있는 것"", ""코셔 소금 1작은술, 필요에 따라 더 준비"", ""식용유 1큰술"", ""다진 생강 1큰술"", ""마늘 다진 것 2쪽"", ""깍둑썬 양파 1/3컵"", ""강황 1/2작은술"", ""재스민 쌀 1컵 + 1큰술"", ""닭 육수 1½컵""]","[""닭 가슴살을 도마 위에 놓고 껍질을 통해 5~6개의 얕은 자르기를 만듭니다. 양쪽에 소금을 넉넉히 간합니다."", ""팬에 식용유를 붓고 중불 이상으로 가열하여 닭 가슴살을 껍질 면이 아래로 향하게 놓고 겉면을 강하게 굽습니다. 피부가 황금색으로 익히고 기름이 나올 때까지 약 5분간 익힙니다. 가슴살을 뒤집고 닭이 완전히 익힐 때까지 계속 익히며 약 5분 더 걸립니다. 닭을 다 익히기 전에 기름이 연기가 나면 불을 중불 또는 중약불로 줄입니다."", ""불을 끄고 닭을 접시에 옮기고 식을 때까지 휴지시킵니다. 껍질을 벗기고 곱게 다집니다. 닭 가슴살을 냉장고에 보관합니다."", ""다진 닭 껍질을 팬에 다시 넣고 중불로 가열합니다. 껍질이 갈색으로 익히고 바삭해질 때까지 저어주며 3~5분간 익힙니다. 생강, 마늘, 양파를 넣고 양파가 반투명해질 때까지 저어주며 약 5분간 익힙니다. 강황과 쌀을 넣고 쌀이 기름으로 코팅하기될 때까지 저어주며 2~3분간 익힙니다."", ""육수를 넣고, 불을 센불로 올려 끓이다. 덮고 불을 약불로 줄인 후 20분 동안 약불로 끓이기를 방해받지 않고 진행합니다. 불을 끄고 타이머를 10분으로 설정하여 쌀을 휴지시킵니다."", ""한편, 손이나 포크로 닭고기를 채썬다. 볼에 넣습니다. 빨간 양파, 파, 프레스노 고추, 라임 주스, 간장, 핫소스, 참기름, 소금, 후춧가루, 신선한 민트와 고수를 넣습니다. 잘 버무릴 때까지 섞습니다. 맛을 보고 필요에 따라 라임 주스, 소금, 그리고/또는 매운 맛으로 더 조정합니다."", ""10분 쌀 타이머가 끝나면 덮개를 제거하고 포크로 쌀을 풀어줍니다. 맛을 보고 필요시 간을 조절합니다. 닭고기 허브 샐러드 혼합물과 라임 웨지를 올린 밥을 제공합니다.""]",9,7
검은콩 라자냐 II,라자냐,베지테리안 라자냐,남서부 풍미를 가진 라자냐입니다. 이것은 구우지 않은 상태로 냉동실에 보관하여 최대 한 달까지 보관할 수 있습니다. 냉장고에서 밤새 해동한 후 지시대로 굽기만 하면 됩니다. 둘째 날 데워서 먹으면 더 맛있습니다!,"[""라자냐 면 9개"", ""다진 양파 1/2컵"", ""다진 빨간 파프리카 1/2컵"", ""해동한 냉동 옥수수 알갱이 1/2컵"", ""다진 마늘 2쪽"", ""헹굼하고 기름기를 뺀 검은콩 캔(15온스) 1개"", ""재구성 검은콩 캔(16온스) 1개"", ""통조림 토마토 소스 2 3/4컵"", ""살사 1/2컵"", ""다진 신선한 실란트로 1/2컵(나누어짐)"", ""코티지 치즈 1 1/2컵"", ""리코타 치즈 1컵"", ""사워 크림 1/4컵"", ""채썬 몬터레이 잭 치즈 8온스"", ""슬라이스한 익은 올리브 1/4컵"", ""신선한 실란트로 8줄기""]","[""오븐을 화씨 350도(섭씨 175도)로 예열하세요. 큰 냄비에 가볍게 소금을 친 물을 끓이기까지 가져오세요. 파스타를 넣고 8~10분 동안 또는 알 덴테가 될 때까지 익히세요. 기름기를 빼세요."", ""큰 팬에 논스틱 코팅 스프레이로 코팅하기하고, 중간 불 위에 놓으세요. 양파, 빨간 파프리카, 옥수수, 마늘을 부드러워질 때까지 볶으세요. 검은콩, 재구성 검은콩, 토마토 소스, 살사, 실란트로 1/4컵을 저어주세요. 가열되고 약간 걸쭉해질 때까지 익히세요. 따로 놓으세요."", ""큰 그릇에 코티지 치즈, 리코타, 사워 크림, 채썬 몬터레이 잭 치즈, 남은 실란트로 1/4컵을 섞으세요. 따로 놓으세요."", ""9x13인치 캐서롤 접시에 논스틱 코팅 스프레이로 코팅하기하세요. 익힌 라자냐 면 3개를 접시 바닥에 놓으세요. 필요하면 자르세요. 콩 혼합물의 1/3을 펼치고, 그 다음 치즈 혼합물의 1/3을 펼치세요. 두 번 더 반복하세요."", ""덮고, 예열된 오븐에서 45분 동안 굽으세요. 슬라이스한 검은 올리브와 실란트로 줄기로 장식하세요.""]",16,5
