recipe_title,category,subcategory,description,ingredients,directions,num_ingredients,num_steps
삼나무 판자 연어 구이,피크닉 요리법,현충일 요리법,"이 삼나무 판자 연어는 시애틀에서 제 남동생이 준비해준 요리입니다. 연어가 촉촉하고 스모키하며, 제가 먹어본 것 중 단연 최고입니다. 아시안 스타일 밥과 아스파라거스와 함께 곁들이는 것을 좋아합니다.","[""3개 (12인치) 무처리 삼나무 판자"", ""⅓컵 간장"", ""⅓컵 식물성 기름"", ""1½ 큰술 쌀식초"", ""1작은술 참기름"", ""¼컵 다진 파"", ""1큰술 간 생강"", ""1작은술 다진 마늘"", ""2개 (2파운드) 연어 필렛, 껍질 제거""]","[""모든 재료를 준비하세요."", ""삼나무 판자를 따뜻한 물에 최소 1시간 동안 담가두세요. 시간이 있다면 더 오래 담가두세요."", ""얕은 접시에 간장, 식물성 기름, 쌀식초, 참기름, 파, 생강, 마늘을 넣고 저어주세요."", ""연어 필렛을 간장 혼합물에 넣고 뒤집어 코팅하세요. 덮어서 최소 15분간, 또는 냉장고에서 최대 1시간 동안 재워주세요."", ""야외 그릴을 중간 불로 예열하세요. 그릴 격자 위에 판자를 놓으세요. 판자가 연기를 내고 약간 탁탁 소리를 낼 때까지 가열하세요."", ""연어를 마리네이드에서 꺼내 판자 위에 놓으세요; 마리네이드는 버리세요."", ""그릴 뚜껑을 닫으세요. 연어가 포크로 쉽게 부스러질 때까지 약 20분간 구우세요; 연어는 그릴에서 꺼낸 후에도 계속 익습니다.""]",9,7
인스턴트 팟 비건 15가지 콩 수프,저지방,저지방 수프와 스튜,이 15가지 콩 인스턴트 팟 수프는 인기 있는 수프의 비건 버전입니다. 풍성하고 진한 이 맛있는 수프는 완벽한 편안한 음식이며 인스턴트 팟으로 만들기 매우 쉽습니다.,"[""야채 육수 8컵"", ""15가지 콩 수프 믹스 1팩 (20온스) (조미료 패킷 제외)"", ""깍둑썰기한 이탈리안 스타일 토마토 통조림 1캔 (14.5온스)"", ""양파 1개, 깍둑썰기"", ""당근 2개, 깍둑썰기"", ""셀러리 줄기 2개, 다지기"", ""마늘 2쪽, 다지기"", ""천일염 1티스푼"", ""훈제 파프리카 1티스푼"", ""후추 ½티스푼""]","[""야채 육수, 헹군 콩, 깍둑썰기한 토마토, 양파, 당근, 셀러리, 마늘, 천일염, 파프리카, 후추를 다기능 압력솥(인스턴트 팟 등)에 넣습니다. 뚜껑을 닫고 잠급니다. 제조사 지침에 따라 고압을 선택하고 타이머를 35분으로 설정합니다. 압력이 형성되는 데 10~15분 정도 걸립니다."", ""제조사 지침에 따라 자연 압력 해제 방법을 사용하여 압력을 해제합니다(약 10분). 제조사 지침에 따라 빠른 압력 해제 방법을 사용하여 조심스럽게 압력 해제를 완료합니다(약 5분). 뚜껑을 열고 제거합니다.""]",10,2
쇼트브레드 크러스트,파이,파이 크러스트,간단하고 쉬운 쇼트브레드 크러스트로 정말 마음에 드실 거예요. 복숭아 파이를 만들 계획이라면 특히 훌륭합니다.,"[""버터 1컵"", ""슈가파우더 ½컵"", ""중력분 2컵"", ""베이킹파우더 ¼티스푼""]","[""오븐을 350도 F (175도 C)로 예열합니다."", ""큰 볼에 버터와 슈가파우더를 넣고 가볍고 부드러워질 때까지 섞습니다. 중력분과 베이킹파우더를 함께 체쳐서 버터 혼합물에 넣고 섞습니다. 9인치 파이 팬에 눌러 담습니다."", ""예열된 오븐에서 12~15분간 또는 가장자리가 살짝 갈색이 될 때까지 굽습니다.""]",4,3
차치키 치킨 난 피자,이탈리안,피자,"이 차치키 치킨 난 피자는 빠르게 준비할 수 있으며 펍에 온 듯한 느낌을 줍니다. 난에 차치키, 치킨, 페타 치즈를 올리고 녹을 때까지 구운 다음 신선한 토마토, 오이, 적양파를 뿌립니다.","[""난 브레드 2개"", ""올리브 오일 2티스푼"", ""마늘 가루 1/2티스푼"", ""건조 딜 1/2티스푼"", ""차치키 소스 2/3컵"", ""익힌 닭고기 1컵"", ""페타 치즈 1/3컵"", ""작은 적양파 1/4개"", ""방울토마토 1/4컵"", ""영국식 오이 1/4컵""]","[""오븐을 화씨 350도(섭씨 180도)로 예열합니다."", ""베이킹 시트에 난 브레드를 놓고 각각 올리브 오일을 바릅니다. 마늘 가루와 건조 딜을 고르게 뿌립니다. 각 난에 차치키 소스 절반, 닭고기 1/2컵, 페타 치즈 절반을 올립니다."", ""예열된 오븐에서 치즈가 부글부글 끓고 가장자리가 갈색으로 잘 구워질 때까지 약 7분간 굽습니다. 오븐에서 꺼내 적양파, 토마토, 오이를 올립니다. 따뜻할 때 제공합니다.""]",10,3
달콤하고 짭짤하며 매콤한 파티 넛츠,크리스마스,푸드 선물,이 양념 견과류 레시피는 스토브탑 팬 방식보다 훨씬 쉬운 기법으로 만들어집니다. 쓴맛이 나는 탄 부분 없이 고르게 구워진 아름답고 완벽하게 코팅된 견과류를 얻을 수 있습니다.,"[""쿠킹 스프레이"", ""볶지 않은 호두 반쪽 1컵"", ""볶지 않은 피칸 반쪽 1컵"", ""무염 드라이 로스트 아몬드 1컵"", ""무염 드라이 로스트 캐슈너트 1컵"", ""소금 1작은술"", ""갓 간 후추 ½작은술"", ""커민 가루 ¼작은술"", ""카이엔 페퍼 ¼작은술"", ""백설탕 ½컵"", ""물 ¼컵"", ""버터 1큰술""]","[""모든 재료를 준비합니다. 오븐을 350도 F (175도 C)로 예열합니다. 베이킹 시트에 알루미늄 포일을 깔고 쿠킹 스프레이를 가볍게 뿌립니다."", ""큰 볼에 호두, 피칸, 아몬드, 캐슈너트를 넣습니다. 소금, 후추, 커민, 카이엔 페퍼를 넣고 잘 섞어 코팅하기 합니다."", ""작은 냄비에 설탕, 물, 버터를 넣고 중불로 가열합니다. 버터가 녹고 설탕이 녹을 때까지 약 1분간 끓이기 합니다."", ""버터 혼합물을 견과류 위에 천천히 부어 코팅하기 합니다."", ""견과류를 준비된 베이킹 시트로 옮기고 단일 층으로 펼칩니다."", ""예열된 오븐에서 견과류를 10분간 굽기 합니다. 따뜻한 시럽으로 견과류를 코팅하기 위해 저어주고 단일 층으로 펼칩니다. 오븐에 다시 넣고 견과류가 끈적하고 구워질 때까지 약 6분 더 굽기 합니다. 서빙하기 전에 식힙니다."", ""서빙하기 전에 식힙니다.""]",12,7
셰프 존의 아이리시 소다 브레드,아이리시 소다 브레드,아이리시 소다 브레드,이 소다 브레드 레시피는 곧 다가올 성 패트릭의 날을 축하하는 훌륭한 방법입니다! 제대로 만들면 이스트 없이 부풀린 빵 중 최고의 퀵 브레드 중 하나입니다. 은은하게 달콤하고 가볍고 부드러운 속결을 가지고 있으며 전혀 건조하지 않습니다.,"[""중력분 3¼컵"", ""통밀가루 ½컵"", ""롤드 오트 ¼컵"", ""소금 1½티스푼"", ""베이킹 소다 1¼티스푼"", ""베이킹 파우더 1티스푼"", ""작은 큐브로 자른 차가운 무염 버터 ¼컵"", ""버터밀크 1¾컵"", ""큰 달걀 1개"", ""꿀 2테이블스푼, 또는 취향껏 추가"", ""간 오렌지 제스트 2티스푼"", ""건포도(커런트) 1컵"", ""황금 건포도 ⅓컵""]","[""모든 재료를 준비합니다. 오븐을 375도F(190도C)로 예열합니다. 베이킹 시트에 유산지나 실리콘 베이킹 매트를 깔아줍니다."", ""큰 볼에 중력분, 통밀가루, 오트, 소금, 베이킹 소다, 베이킹 파우더를 함께 휘젓습니다. 페이스트리 블렌더를 사용하여 버터를 밀가루 혼합물에 섞어 거친 부스러기 같은 질감이 될 때까지 자릅니다."", ""중간 크기 볼에 버터밀크, 달걀, 꿀, 오렌지 제스트를 함께 휘젓습니다. 버터밀크 혼합물, 커런트, 건포도를 밀가루-버터 혼합물에 붓고 나무 스푼으로 젖고 끈적한 반죽이 뭉쳐질 때까지 저어주다."", ""반죽을 밀가루를 충분히 뿌린 작업대 위에 옮깁니다. 반죽을 눌러 공 모양으로 만들고 2등분합니다. 각각을 매끄럽고 둥근 덩어리로 만듭니다."", ""준비한 베이킹 시트로 옮기고 15분간 휴지시킵니다. 톱니 칼을 사용하여 각 덩어리 윗면에 ½인치 깊이의 \""X\"" 자를 냅니다."", ""예열된 오븐에서 황금빛 갈색이 나고 향이 날 때까지 약 45분간 굽기. 완전히 식히기 위해 덩어리들을 와이어 랙으로 옮긴 후 슬라이스합니다."", ""맛있게 드세요!""]",13,7
피클 마늘,피클,채소 피클,이 피클 마늘은 시간이 오래 걸리지만 만들기 쉽고 정말 맛있습니다.,"[""마늘 ½파운드, 껍질 벗긴 것"", ""큰 빨간 파프리카 1개, 다진 것"", ""증류 백식초 2컵"", ""백설탕 ⅔컵"", ""겨자 가루 ½작은술"", ""셀러리 씨 ½작은술""]","[""마늘을 중간 크기 볼에 넣고, 큰 마늘은 반으로 자릅니다. 빨간 파프리카를 넣고 섞습니다."", ""큰 냄비에 증류 백식초와 백설탕을 넣고 중강불로 가열합니다. 겨자 가루와 셀러리 씨를 향신료 주머니에 싸서 액체 혼합물에 넣습니다. 끓입니다. 5분간 끓입니다. 마늘과 파프리카를 넣고 저어주세요. 5분간 계속 끓입니다. 불에서 내려 향신료 주머니를 제거합니다."", ""마늘과 파프리카를 멸균 용기에 상단에서 1인치 아래까지 넣습니다. 남은 액체를 상단에서 1/4인치 아래까지 채웁니다. 밀봉하여 냉장고에 보관하고 서빙하기 전 약 3주 정도 숙성시킵니다.""]",6,3
캐러멜 캔디,디저트,캐러멜 디저트,"이 캐러멜은 흑설탕, 크림, 버터, 옥수수 시럽으로 만들어지며 바닐라 향이 은은하게 가미됩니다.","[""흑설탕 1¼컵"", ""백설탕 1⅔컵"", ""버터 1컵"", ""옥수수 시럽 1컵"", ""헤비 크림 1¼컵"", ""우유 ¾컵"", ""바닐라 익스트랙 2티스푼""]","[""중간 크기 냄비에 흑설탕, 백설탕, 버터, 옥수수 시럽, 크림, 우유, 바닐라를 넣고 중불로 가열합니다. 가끔 저어주면서 화씨 250~265도(섭씨 121~129도)까지 가열하거나 시럽을 찬물에 조금 떨어뜨렸을 때 단단한 공 모양이 형성될 때까지 가열합니다. 8x8인치 팬에 부어줍니다. 자르기 전에 식혀줍니다.""]",7,1
백에 구운 칠면조,메인 요리,가을 메인 요리,"백에 칠면조를 구우면 이 레시피로 쉽게 만들 수 있습니다. 추수감사절 칠면조가 완벽하게 촉촉하게 익으며, 백 바닥에 고인 육즙으로 그레이비를 만들 수 있습니다. 게다가 뒷정리도 간편합니다! 칠면조가 12파운드보다 크거나 작으면 조리 시간이 달라집니다.","[""칠면조 통 12파운드 1마리"", ""소금과 후추 적당량"", ""다목적 밀가루 2큰술"", ""셀러리 5대, 1인치 크기로 자르기"", ""큰 양파 2개, 4등분하기"", ""큰 칠면조용 백 1개""]","[""모든 재료를 준비하세요."", ""오븐을 350도F(175도C)로 예열하세요."", ""내장을 제거하고 버리세요."", ""칠면조를 헹구고 물기를 닦아내세요."", ""칠면조에 소금과 후추로 간을 하세요."", ""칠면조 백 바닥에 밀가루를 뿌리세요."", ""칠면조를 백에 넣고 셀러리와 양파를 추가하세요."", ""백을 밀봉하고 로스팅 팬으로 옮긴 후, 포크로 백에 여러 개의 구멍을 내세요."", ""예열된 오븐에서 칠면조가 익고 육즙이 맑게 나올 때까지 약 3~3시간 30분 동안 구우세요. 허벅지 살에 꽂은 즉석 온도계가 180도F(85도C)를 나타내야 합니다."", ""맛있게 드세요!""]",6,10
구운 고구마 튀김,튀김,튀김,이 고구마 튀김은 훌륭한 사이드 디시이며 가족과 친구들을 만족시킬 것입니다. 원하는 대로 간을 하세요!,"[""큰 고구마 2개"", ""대두유 3큰술 (흔히 \""식물성 기름\""이라고 표기됨)"", ""바다 소금 ½작은술"", ""갓 갈아낸 후추 ½작은술"", ""마늘 가루 ¼작은술"", ""파프리카 가루 ¼작은술""]","[""모든 재료를 준비하세요."", ""오븐을 425도 F (220도 C)로 예열하세요. 오븐 상단 3분의 1 위치에 랙을 놓으세요. 베이킹 시트에 기름을 바르세요."", ""고구마 껍질을 벗기고 1x3인치 쐐기 모양으로 자르세요. 큰 볼에 쐐기 모양 고구마와 대두유를 넣고 가볍게 버무리세요. 소금, 후추, 마늘 가루, 파프리카 가루를 뿌리세요."", ""준비한 베이킹 시트에 고구마를 겹치지 않게 한 겹으로 배열하세요. 부드럽고 황금빛 갈색이 될 때까지 가끔 뒤집어가며 18~24분간 구우세요. 서빙하기 전 5분간 식히세요.""]",6,4
