recipe_title,category,subcategory,description,ingredients,directions,num_ingredients,num_steps
Cedar Planked Salmon,Picnic Recipes,Memorial Day Recipes,"This cedar plank salmon is a dish my brother prepared for me in Seattle. The salmon is moist, smoky, and by far the best I've ever eaten. I like to serve it with Asian-style rice and asparagus.","[""3 (12-inch) untreated cedar planks"", ""\u2153 cup soy sauce"", ""\u2153 cup vegetable oil"", ""1 \u00bd tablespoons rice vinegar"", ""1 teaspoon sesame oil"", ""\u00bc cup chopped green onions"", ""1 tablespoon grated fresh ginger"", ""1 teaspoon minced garlic"", ""2 (2-pound) salmon fillets, skin removed""]","[""Gather all ingredients."", ""Soak cedar planks for at least 1 hour in warm water. Soak longer if you have time."", ""Stir soy sauce, vegetable oil, rice vinegar, sesame oil, green onions, ginger, and garlic together in a shallow dish."", ""Place salmon fillets in soy mixture and turn to coat. Cover and marinate for at least 15 minutes, or up to 1 hour refrigerated."", ""Preheat an outdoor grill for medium heat. Place planks on the grill grate. Heat planks until they start to smoke and crackle just a little."", ""Remove salmon from marinade and place on planks; discard marinade."", ""Close grill cover. Grill salmon until it flakes easily with a fork, about 20 minutes; salmon will continue to cook after you remove it from the grill.""]",9,7
Instant Pot Vegan 15-Bean Soup,Low Fat,Low-Fat Soups And Stews,"This 15-bean Instant Pot soup is a vegan version of the popular soup. Hearty and rich, this tasty soup is the perfect comfort food and so easy to make in your Instant Pot.","[""8 cups vegetable broth"", ""1 (20 ounce) package 15-bean soup mix (seasoning packet not used)"", ""1 (14.5 ounce) can diced Italian-style tomatoes"", ""1 onion, diced"", ""2 carrots, diced"", ""2 stalks celery, chopped"", ""2 cloves garlic, minced"", ""1 teaspoon sea salt"", ""1 teaspoon smoked paprika"", ""\u00bd teaspoon ground black pepper""]","[""Combine vegetable broth, rinsed beans, diced tomatoes, onion, carrots, celery, garlic, sea salt, paprika, and black pepper in a multi-functional pressure cooker (such as Instant Pot). Close and lock the lid. Select high pressure according to manufacturer's instructions; set the timer for 35 minutes. Allow 10 to 15 minutes for pressure to build."", ""Release pressure using the natural-release method according to manufacturer's instructions, about 10 minutes. Complete releasing pressure carefully using the quick-release method according to manufacturer's instructions, about 5 minutes. Unlock and remove the lid.""]",10,2
Shortbread Crust,Pies,Pie Crusts,Simple and easy shortbread crust you'll love. Especially wonderful if your planning to make a peach pie.,"[""1 cup butter"", ""\u00bd cup confectioners' sugar"", ""2 cups all-purpose flour"", ""\u00bc teaspoon baking powder""]","[""Preheat oven to 350 degrees F (175 degrees C)."", ""In a large bowl, cream butter and confectioners' sugar until light and fluffy. Stir together flour and baking powder; blend into butter mixture. Pat into a 9 inch pie plate."", ""Bake in preheated oven for 12 to 15 minutes, or until edges are lightly browned.""]",4,3
Tzatziki Chicken Naan Pizza,Italian,Pizza,"This tzatziki chicken naan pizza is a quick prep that will make you feel like you're at the pub. Naan is topped with tzatziki, chicken, and feta, then baked until melty and scattered with fresh tomatoes, cucumber, and red onion.","[""2 naan breads"", ""2 teaspoons olive oil"", ""1/2 teaspoon garlic powder"", ""1/2 teaspoon dried dill"", ""2/3 cup tzatziki sauce"", ""1 cup cooked chicken"", ""1/3 cup feta cheese"", ""1/4 small red onion"", ""1/4 cup cherry tomatoes"", ""1/4 cup nglish cucumber""]","[""Preheat the oven to 350 degrees F (180 degrees C)."", ""Place naan breads on a baking sheet; brush each with olive oil. Sprinkle evenly with garlic powder and dried dill. Top each naan with half of tzatziki sauce, 1/2 cup chicken, and half of feta cheese."", ""Bake in the preheated oven until cheese is bubbly and the edges are nice and brown, about 7 minutes. Remove from the oven and top with red onion, tomatoes, and cucumber. Serve warm.""]",10,3
"Sweet, Salty, Spicy Party Nuts",Christmas,Food Gifts,"This spiced nuts recipe is made using a much easier technique than the stovetop pan method. You'll get beautiful, perfectly frosted nuts roasted evenly, with no bitter burned spots.","[""cooking spray"", ""1 cup untoasted walnut halves"", ""1 cup untoasted pecan halves"", ""1 cup unsalted, dry roasted almonds"", ""1 cup unsalted, dry roasted cashews"", ""1 teaspoon salt"", ""\u00bd teaspoon freshly ground black pepper"", ""\u00bc teaspoon ground cumin"", ""\u00bc teaspoon cayenne pepper"", ""\u00bd cup white sugar"", ""\u00bc cup water"", ""1 tablespoon butter""]","[""Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with aluminum foil and lightly coat with cooking spray."", ""Combine walnuts, pecans, almonds, and cashews in a large bowl. Add salt, black pepper, cumin, and cayenne; toss to coat."", ""Heat sugar, water, and butter in a small saucepan over medium heat. Cook until butter is melted and sugar is dissolved, about 1 minute."", ""Slowly pour butter mixture over nuts and stir to coat."", ""Transfer nuts to the prepared baking sheet and spread into a single layer."", ""Bake nuts in the preheated oven for 10 minutes. Stir nuts to coat with warm syrup; spread out in a single layer. Return to the oven and bake until nuts are sticky and roasted, about 6 more minutes. Allow to cool before serving."", ""Allow to cool before serving.""]",12,7
Chef John's Irish Soda Bread,Irish Soda Bread,Irish Soda Bread,"This soda bread recipe is a great way to celebrate St. Patrick's Day, which is right around the corner! If made correctly, this is one of the best quick breads (those leavened without yeast) you'll ever have. It's subtly sweet, with a light, tender crumb, and not at all dry.","[""3 \u00bc cups all-purpose flour"", ""\u00bd cup whole wheat flour"", ""\u00bc cup rolled oats"", ""1 \u00bd teaspoons salt"", ""1 \u00bc teaspoons baking soda"", ""1 teaspoon baking powder"", ""\u00bc cup cold unsalted butter, cut into small cubes"", ""1 \u00be cups buttermilk"", ""1 large egg"", ""2 tablespoons honey, or more to taste"", ""2 teaspoons grated orange zest"", ""1 cup dried currants"", ""\u2153 cup golden raisins""]","[""Gather all ingredients. Preheat the oven to 375 degrees F (190 degrees C). Line a baking sheet with parchment paper or a silicone baking mat."", ""Whisk all-purpose flour, whole wheat flour, oats, salt, baking soda, and baking powder together in a large bowl. Cut butter into flour mixture using a pastry blender until mixture resembles coarse crumbs."", ""Beat buttermilk, egg, honey, and orange zest together in a medium bowl. Pour buttermilk mixture, currants, and raisins into flour-butter mixture; stir with a wooden spoon until a wet, sticky dough comes together."", ""Turn dough out onto a well-floured work surface; press dough together into a ball and cut into 2 equal pieces. Form each into a smooth, round loaf."", ""Transfer to the prepared baking sheet and let rest for 15 minutes. Cut a 1/2-inch-deep \""X\"" into the top of each loaf using a serrated knife."", ""Bake in the preheated oven until golden brown and fragrant, about 45 minutes. Transfer loaves to a wire rack to cool completely before slicing."", ""Enjoy!""]",13,7
Pickled Garlic,Pickles,Pickled Vegetables,"These pickled garlic cloves take a long time, but they're easy to make and are a real treat.","[""\u00bd pound garlic, peeled"", ""1 large red bell pepper, chopped"", ""2 cups distilled white vinegar"", ""\u2154 cup white sugar"", ""\u00bd teaspoon ground dry mustard"", ""\u00bd teaspoon celery seed""]","[""Place garlic cloves in a medium bowl, first cutting the large cloves in half. Mix in the red bell pepper."", ""In a large saucepan over medium high heat, place the distilled white vinegar and white sugar. Wrap ground dry mustard and celery seed in a spice bag, and place in the liquid mixture. Bring to a boil. Boil 5 minutes. Stir in garlic and pepper. Continue boiling 5 minutes. Remove from heat and discard spice bag."", ""Place garlic and peppers in sterile containers to within 1 inch of the top. Fill with remaining liquid to within 1/4 inch from the top. Seal and store in the refrigerator approximately three weeks before serving.""]",6,3
Caramel Candies,Desserts,Caramel Desserts,"These caramels are made with brown sugar, cream, butter and corn syrup and flavored with a hint of vanilla.","[""1 \u00bc cups brown sugar"", ""1 \u2154 cups white sugar"", ""1 cup butter"", ""1 cup corn syrup"", ""1 \u00bc cups heavy cream"", ""\u00be cup whole milk"", ""2 teaspoons vanilla extract""]","[""Combine brown sugar, white sugar, butter, corn syrup, cream, milk and vanilla in a medium saucepan over medium heat. Heat, stirring occasionally, to 250 to 265 degrees F (121 to 129 degrees C), or until a small amount of syrup dropped into cold water forms a rigid ball. Pour into an 8x8 inch pan. Let cool before cutting.""]",7,1
Turkey in a Bag,Main Dishes,Fall Main Dishes,"Cooking turkey in a bag is easy with this recipe. Your Thanksgiving turkey will be perfectly moist when done, and you can make gravy out of the juice that forms in the bottom of the bag. Plus, cleanup is a snap! The cooking time will vary if your turkey is larger or smaller than 12 pounds.","[""1 (12 pound) whole turkey"", ""salt and ground black pepper to taste"", ""2 tablespoons all-purpose flour"", ""5 stalks celery, cut into 1-inch pieces"", ""2 large onions, quartered"", ""1 large turkey bag""]","[""Gather all ingredients."", ""Preheat the oven to 350 degrees F (175 degrees C)."", ""Remove and discard giblets."", ""Rinse turkey and pat dry."", ""Season turkey with salt and pepper."", ""Sprinkle the bottom of the turkey bag with flour."", ""Place turkey in the bag and add celery and onions."", ""Seal the bag and transfer into a roasting pan; poke several holes in the bag with a fork."", ""Bake in the preheated oven until turkey is cooked and the juices run clear, about 3 to 3 1/2 hours. An instant-read thermometer inserted into the thigh meat should read 180 degrees F (85 degrees C)."", ""Enjoy!""]",6,10
Baked Sweet Potato Fries,Fries,Fries,These sweet potato fries make a great side dish and are sure to please your friends and family. Season as you please!,"[""2 large sweet potatoes"", ""3 tablespoons soybean oil (often labeled \""vegetable oil\"")"", ""\u00bd teaspoon sea salt"", ""\u00bd teaspoon freshly ground black pepper"", ""\u00bc teaspoon garlic powder"", ""\u00bc teaspoon paprika""]","[""Gather all ingredients."", ""Preheat the oven to 425 degrees F (220 degrees C). Position rack in upper third of the oven. Grease a baking sheet."", ""Peel sweet potatoes and cut into 1x3-inch wedges. Place wedges and soybean oil in a large bowl; toss lightly. Sprinkle with salt, pepper, garlic powder, and paprika."", ""Arrange potatoes in a single layer on the prepared baking sheet, being sure not to overcrowd. Bake, turning occasionally, until tender and golden brown, 18 to 24 minutes. Cool 5 minutes before serving.""]",6,4
